lfdn,v_22
91,Mix: Customer and Main-Contractor
147,"Part Customer, part Main contractor, part In-house development"
230,Co-Development of project
249,"All in one solution, I do everything myself"
304,Consultant for Business Analysis and Project Management
901,Quality control
956,SA
985,own business
1105,test factory
1289,In_house: Business Analysis to Design
1483,  
1633,"It is In-house development, but composed of external consultants"
1899,Service designer
