lfdn,v_2
48,Satellites
56,Software Development
84,Retail
119,Defence
165,Big science (particle physics research facilities)
180,Not for profit
210,marketing
213,GDPR - General Data Protection Regulation
231,High Tech
239,Data Analysis and Visualization 
249,"Hobby, Entrepreneur, and IoT Projects"
258,trade
295,Aerospace
317,Grant management
334,Requirements Engineering
427,Aviation
461,Banking
482,Network management system 
485,banking
489,Advertising
496,Aviation
512,Insurance
534,Retail
539,Defense
570,Robotics
626,Digital Out of the Home
694,1 project education + 1 project eCommerce ; industries of project varies 
728,development of banking software
735,Sports
758,Internet of Things startup
819,Financial market
876,Sales system
912,"We are consultants, so have projects across public and private sectors."
926,Mobile
955,Banking sector
956,IT
957,Information Technology
960,Information Technology
980,Customer engagement 
985,Gastronomy
987,ICT
1008,HMI
1014,medical research
1051,Domain-independent tool support for engineering and assurance of safety-criticla systems
1055,Automation
1065,Television/Radio
1082,Trade / Retail
1114,Communications
1115,Consulting
1118,System Software
1122,Callcenter
1140,Automation
1164,imports
1239,Public safety
1255,Media - sale of subscriptions
1262,Technology
1290,Public Access 
1316,"Organizations operational development - process/EA modeling, measuring, dashboarding"
1321,Business software
1329,IT consulting
1340,Food industry - Custom Software
1344,Food industry
1347,Developed in the context of a product of diverse applicability
1354,TOURISM
1383,Banking
1423,Websites / APPS
1617,IT Outsourcing Services
1645,Consumer industry
1665,It
1666,IT
1688,Film
1697,Web development for companies
1744,Cloudservices for small and midsize business
1759,Calendar app
1820,Banking
1842,Technology Independent Software Vendor (ISV)
1849,Low-code Platform
1862,retail
1894,Banking
1923, Waste Collection and Management
1928,Fraud detection
1929,Contact centers
1931,Environment
1957,Retail
1962,ERP product
1965,Tourism
1969,I consult to projects in many different sectors.  
