lfdn,v_15
82,Quality in works plays a main role. 
84,This is reverse-engeneering project - old system has to be re-developed on the base of modern technologies
512,scalability
560,Satisfying the job to be done
1894,"Evolução rápida em módulos compartimentados, para permitir desenvolvimento de modulos com sprints paralelos geridos por equipas em paralelo"
